//time hold_duration olliQty UdinQty

// intro - slow
8040 0.6 1 0
9760 0.6 1 0
11480 0.6 1 0
13180 0.6 1 0

// intro - mid
14980 0.6 1 0
15800 0.6 1 0
16200 0.6 1 0
16740 0.6 1 0
17560 0.6 1 0
17920 0.6 1 0
18400 0.6 1 0
19240 0.6 1 0
19600 0.6 1 0
20100 0.6 1 0
20480 0.6 1 0
20900 0.6 1 0
21820 0.6 1 0
22220 0.6 1 0
23460 0.6 1 0
23900 0.6 1 0
25160 0.6 1 0
25620 0.6 1 0
26900 0.6 1 0
27320 0.6 1 0
27760 0.6 1 0
28580 0.6 1 0
29040 0.6 1 0
30340 0.6 1 0
30740 0.6 1 0
32080 0.6 1 0
32440 0.6 1 0
33700 0.6 1 0
34120 0.6 1 0
34580 0.6 1 0
35520 0.6 1 0
35900 0.6 1 0
37200 0.6 1 0
37620 0.6 1 0
38900 0.6 1 0
39320 0.6 1 0
40560 0.6 1 0
41000 0.6 1 0
41440 0.6 1 0
42480 0.6 1 0
42740 0.6 1 0
43926 0.6 1 0
44346 0.6 1 0
45666 0.6 1 0
46046 0.6 1 0
47366 0.6 1 0
47826 0.6 1 0

// first part
48226 0.6 1 0
48626 0.6 1 0
49146 0.6 1 0
49526 0.6 1 0
49966 0.6 1 0
50366 0.6 1 0
50846 0.6 1 0
51266 0.6 1 0
51666 0.6 1 0
52126 0.6 1 0
52566 0.6 1 0
53006 0.6 1 0
53466 0.6 1 0
53866 0.6 1 0
54326 0.6 1 0
56046 0.6 1 0
56466 0.6 1 0
56926 0.6 1 0
57326 0.6 1 0
57786 0.6 1 0
58226 0.6 1 0
58666 0.6 1 0
59086 0.6 1 0
59525 0.6 1 0
59906 0.6 1 0
60346 0.6 1 0
60766 0.6 1 0

// odin intro
62926 0.6 1 0
64566 0.6 1 0
64599 1.6 0 1
64986 0.6 1 0
65426 0.6 1 0
65826 0.6 1 0
66366 0.6 1 0
66459 1.6 0 1
66746 0.6 1 0
67146 0.6 1 0
67546 0.6 1 0
68039 3 0 1
68066 0.6 1 0
68486 0.6 1 0
68886 0.6 1 0
69286 0.6 1 0
69786 0.6 1 0
70186 0.6 1 0
70566 0.6 1 0
71406 0.6 1 0
71439 1.6 0 1
71846 0.6 1 0
72266 0.6 1 0
72686 0.6 1 0
73219 1.6 0 1
73226 0.6 1 0
73606 0.6 1 0
74026 0.6 1 0
74446 0.6 1 0
74879 3 0 1
74966 0.6 1 0
75346 0.6 1 0
75746 0.6 1 0
76146 0.6 1 0
76626 0.6 1 0
77026 0.6 1 0
77426 0.6 1 0
78286 0.6 1 0
78359 0.5 0 1
78706 0.6 1 0
79146 0.6 1 0
