//time hold_duration olliQty UdinQty
// slow - fast - slow - fast
006079 1.7 0 1
006299 1.5 0 1
006479 1.3 0 1
006719 1.1 0 1
006999 0.8 0 1
007439 0.5 1 0

// slow
008459 0.5 1 0
009399 0.5 1 0
010359 0.5 1 0
011339 0.5 1 0
012299 0.5 1 0
013359 0.5 1 0
014279 0.5 1 0
015319 0.5 1 0
016239 0.5 1 0
017199 0.5 1 0
// jump point 1
018219 0.5 1 0
019218 0.5 1 0
020198 0.5 1 0
021178 0.5 1 0
022158 0.5 1 0
023158 0.5 1 0
024118 0.5 1 0
025118 0.5 1 0
026078 0.5 1 0
027098 0.5 1 0
028098 0.5 1 0
029058 0.5 1 0
// transition
029818 0.5 1 0
030058 0.5 1 0
//030258 0.5 1 0
030358 0.5 1 0
030618 0.5 1 0
030998 // end

// odin bit
031018 0.5 1 0
032018 0.5 1 0
032998 0.5 1 0
033082 3.5 0 1
033958 0.5 1 0
034958 0.5 1 0
// jump point 2
035918 0.5 1 0
036811 3.5 0 1
036898 0.5 1 0
037897 0.5 1 0
038897 0.5 1 0
039817 0.5 1 0
040691 3.5 0 1
040817 0.5 1 0
041817 0.5 1 0
042817 0.5 1 0
043697 0.5 1 0
044697 0.5 1 0
044711 3.5 0 1
045677 0.5 1 0
046617 0.5 1 0

// odin stay
047389 13.6 0 1
048157 0.5 1 0
049197 0.5 1 0
049306 11.7 0 1
050157 0.5 1 0
051157 0.5 1 0
051166 9.9 0 1
052137 0.5 1 0
// jump point 3
053137 0.5 1 0
053166 7.9 0 1
054057 0.5 1 0
055097 0.5 1 0
056097 0.5 1 0
057036 0.5 1 0
058056 0.5 1 0
059036 0.5 1 0
059996 0.5 1 0
060996 0.5 1 0

// fast
061476 0.5 1 0
061976 0.5 1 0
062476 0.5 1 0
063036 0.5 1 0
063496 0.5 1 0
063976 0.5 1 0
064436 0.5 1 0
064936 0.5 1 0
065416 0.5 1 0
065896 0.5 1 0
066376 0.5 1 0
066856 0.5 1 0
067376 0.5 1 0
067896 0.5 1 0
068376 0.5 1 0
068836 0.5 1 0
069356 0.5 1 0
069856 0.5 1 0
// jump point 4
070356 0.5 1 0
070856 0.5 1 0
071316 0.5 1 0
071836 0.5 1 0
072296 0.5 1 0
072776 0.5 1 0
073276 0.5 1 0
073796 0.5 1 0
074276 0.5 1 0
074756 0.5 1 0
075255 0.5 1 0
075755 0.5 1 0
076235 0.5 1 0

//transition to slow
076775 0.5 1 0
077255 0.5 1 0
077715 0.5 1 0
078215 0.5 1 0
078755 0.5 1 0
//079255 0.5 1 0
079735 0.5 1 0
//080215 0.5 1 0
080675 0.5 1 0
//081235 0.5 1 0
081695 0.5 1 0
//082155 0.5 1 0
082615 0.5 1 0
//083135 0.5 1 0
083635 0.5 1 0
//084135 0.5 1 0
084655 0.5 1 0
//085115 0.5 1 0
085635 0.5 1 0
//086115 0.5 1 0
086575 0.5 1 0
//087055 0.5 1 0
087555 0.5 1 0
// jump point 5
//088035 0.5 1 0
088535 0.5 1 0
//089035 0.5 1 0
089535 0.5 1 0
//089975 0.5 1 0
090455 0.5 1 0
//090995 0.5 1 0
091475 0.5 1 0
//091955 0.5 1 0
// transition to fast
092515 0.5 1 0
092995 0.5 1 0
093475 0.5 1 0
093954 0.5 1 0
094454 0.5 1 1
094954 0.5 1 0
095454 0.5 1 0
095934 0.5 1 0
096394 0.5 1 1
096874 0.5 1 0
097394 0.5 1 0
097874 0.5 1 0
098374 0.5 1 1
098854 0.5 1 0
099354 0.5 1 0
099814 0.5 1 0
100314 0.5 1 0
100854 0.5 1 0
101334 0.5 1 0
101814 0.5 1 0
102294 0.5 1 1
102774 0.5 1 0
103294 0.5 1 0
103794 0.5 1 0
104274 0.5 1 1
104774 0.5 1 0
// jump point 6
105274 0.5 1 0
105734 0.5 1 0
106214 0.5 1 1
106754 0.5 1 0
107234 0.5 1 0
107714 0.5 1 0
108214 0.5 1 0
108714 0.5 1 0
109154 0.5 1 0
109634 0.5 1 0
110134 0.5 1 0
110674 0.5 1 0
111174 0.5 1 0

111622 13.6 0 1
111654 0.5 1 0
112174 0.5 1 0
112634 0.5 1 0
113133 0.5 1 0
113593 0.5 1 0
114053 0.5 1 0
114573 0.5 1 0
115093 0.5 1 0
115573 0.5 1 0
115582 11.7 0 1
116053 0.5 1 0
116533 0.5 1 0
117033 0.5 1 0
117533 0.5 1 0
118053 0.5 1 0
118513 0.5 1 0
118993 0.5 1 0
119402 9.9 0 1
119513 0.5 1 0
120033 0.5 1 0
120533 0.5 1 0
121033 0.5 1 0
121533 0.5 1 0
121993 0.5 1 0
122473 0.5 1 0
// jump point 7
122993 0.5 1 0
123441 7.9 0 1
123473 0.5 1 0
123993 0.5 1 0
124473 0.5 1 0
124973 0.5 1 0
125453 0.5 1 0
125953 0.5 1 0
126413 0.5 1 0
126953 0.5 1 0
127413 0.5 1 0
127893 0.5 1 0
128333 0.5 1 0
128833 0.5 1 0
129313 0.5 1 0
129833 0.5 1 0
130333 0.5 1 0
130813 0.5 1 0
131373 0.5 1 0
131832 0.5 1 0
132312 0.5 1 0
132812 0.5 1 0
133292 0.5 1 0
133812 0.5 1 0
134292 0.5 1 0
134792 0.5 1 0
135252 0.5 1 0
135732 0.5 1 0
136212 0.5 1 0
