//time hold_duration olliQty UdinQty
// Initial
008339 0.5 1 0
008759 0.5 1 0
009259 0.5 1 0
009779 0.5 1 0
010279 0.5 1 0
010799 0.5 1 0
011299 0.5 1 0
011779 0.5 1 0
012279 0.5 1 0
012779 0.5 1 0
013279 0.5 1 0
013799 0.5 1 0
014299 0.5 1 0
014539 0.5 1 0
014819 0.5 1 0
015079 0.5 1 0
015339 0.5 1 0
015759 0.5 1 0
016299 0.5 1 0
016799 0.5 1 0
017279 0.5 1 0
017759 0.5 1 0
018259 0.5 1 0
018739 0.5 1 0
019238 0.5 1 0
019738 0.5 1 0
020258 0.5 1 0
020778 0.5 1 0
021278 0.5 1 0
021798 0.5 1 0
022278 0.5 1 0
022538 0.5 1 0
022818 0.5 1 0
023078 0.5 1 0
023318 0.5 1 0
023738 0.5 1 0
024298 0.5 1 0
024798 0.5 1 0
025278 0.5 1 0
025758 0.5 1 0
026258 0.5 1 0
026758 0.5 1 0
027278 0.5 1 0
027738 0.5 1 0
028238 0.5 1 0
028778 0.5 1 0
029278 0.5 1 0
029738 0.5 1 0
030258 0.5 1 0
030578 0.5 1 0
030818 0.5 1 0
031098 0.5 1 0
031318 0.5 1 0
031738 0.5 1 0
032258 0.5 1 0
032758 0.5 1 0
033258 0.5 1 0
033718 0.5 1 0
034238 0.5 1 0
034718 0.5 1 0
035258 0.5 1 0
035718 0.5 1 0
036218 0.5 1 0
036718 0.5 1 0
037238 0.5 1 0
037737 0.5 1 0
038237 0.5 1 0
038537 0.5 1 0
038777 0.5 1 0
039017 0.5 1 0
039297 0.5 1 0
039737 0.5 1 0
040257 0.5 1 0
040757 0.5 1 0
041257 0.5 1 0
041757 0.5 1 0
042237 0.5 1 0
042757 0.5 1 0
043257 0.5 1 0
043777 0.5 1 0
044217 0.5 1 0
044717 0.5 1 0
045237 0.5 1 0
045737 0.5 1 0
046217 0.5 1 0
046517 0.5 1 0
046797 0.5 1 0
047037 0.5 1 0
047277 0.5 1 0
047737 0.5 1 0
048277 0.5 1 0
048777 0.5 1 0
049257 0.5 1 0
049757 0.5 1 0
050257 0.5 1 0
050777 0.5 1 0
051257 0.5 1 0
051777 0.5 1 0
052237 0.5 1 0
052737 0.5 1 0
053277 0.5 1 0
053797 0.5 1 0
054257 0.5 1 0
054557 0.5 1 0
054797 0.5 1 0
055017 0.5 1 0
055277 0.5 1 0

// jazzy part
055776 0.5 1 0
056236 0.5 1 0
056776 0.5 1 0
056856 1.5 0 1
057256 0.5 1 0
057776 0.5 1 0
058256 0.5 1 0
058776 1.0 0 1
058776 0.5 1 0
059276 0.5 1 0
059796 0.5 1 0
060236 0.5 1 0
060596 1.5 0 1
060756 0.5 1 0
061256 0.5 1 0
061796 0.5 1 0
062256 0.5 1 0
062576 1.0 0 1
062756 0.5 1 0
063256 0.5 1 0
063736 0.5 1 0
064196 0.5 1 0
064476 1.5 0 1
064716 0.5 1 0
065236 0.5 1 0
065736 0.5 1 0
066236 0.5 1 0
066616 1.0 0 1
066756 0.5 1 0
067236 0.5 1 0
067736 0.5 1 0
068256 0.5 1 0
068576 1.5 0 1
068756 0.5 1 0
069236 0.5 1 0
069716 0.5 1 0
070196 0.5 1 0
070596 1.0 0 1
070696 0.5 1 0
071156 0.5 1 0

071815 0.5 1 0
072315 0.5 1 0
072795 0.5 1 0
072835 3.5 0 1
073315 0.5 1 0
073575 2.8 0 1
073795 0.5 1 0
074275 0.5 1 0
074375 2.0 0 1
074795 0.5 1 0
075275 0.5 1 0
075775 0.5 1 0
076315 0.5 1 0
076555 3.7 0 1
076815 0.5 1 0
077315 0.5 1 0
077475 2.8 0 1
077815 0.5 1 0
078294 1.5 0 1
078295 0.5 1 0
078795 0.5 1 0
079255 0.5 1 0
079755 0.5 1 0
080255 0.5 1 0
080535 3.5 0 1
080755 0.5 1 0
081255 0.5 1 0
081515 2.8 0 1
081755 0.5 1 0
082235 0.5 1 0
082275 2.0 0 1
082735 0.5 1 0
083215 0.5 1 0
083735 0.5 1 0
084235 0.5 1 0
084555 3.7 0 1
084755 0.5 1 0
085255 0.5 1 0
085475 2.8 0 1
085755 0.5 1 0
086235 0.5 1 0
086295 1.5 0 1
086715 0.5 1 0
087215 0.5 1 0
087734 0.5 1 0

// end of jazz
088254 0.5 1 0
088754 0.5 1 0
089274 0.5 1 0
089754 0.5 1 0
090254 0.5 1 0
090794 0.5 1 0
091294 0.5 1 0
091794 0.5 1 0
092274 0.5 1 0
092794 0.5 1 0
093294 0.5 1 0
093814 0.5 1 0
094334 0.5 1 0
094614 0.5 1 0
094854 0.5 1 0
095074 0.5 1 0
095294 0.5 1 1
095734 0.5 1 0
096314 0.5 1 0
096794 0.5 1 0
097254 0.5 1 0
097794 0.5 1 0
098274 0.5 1 0
098774 0.5 1 0
099274 0.5 1 0
099754 0.5 1 0
100254 0.5 1 0
100754 0.5 1 0
101274 0.5 1 0
101794 0.5 1 0
102314 0.5 1 0
102534 0.5 1 0
102794 0.5 1 0
103034 0.5 1 0
103294 0.5 1 1
103734 0.5 1 0
104314 0.5 1 0
104794 0.5 1 0
105274 0.5 1 0
105794 0.5 1 0
106254 0.5 1 0
106733 0.5 1 0
107213 0.5 1 0
107753 0.5 1 0
108253 0.5 1 0
108753 0.5 1 0
109233 0.5 1 0
109773 0.5 1 0
110273 0.5 1 0
110553 0.5 1 0
110793 0.5 1 0
110993 0.5 1 0
111233 0.5 1 1
111733 0.5 1 0
112273 0.5 1 0
112793 0.5 1 0
113253 0.5 1 0
113733 0.5 1 0
114233 0.5 1 0
114733 0.5 1 0
115233 0.5 1 0
115713 0.5 1 0
116233 0.5 1 0
116753 0.5 1 0
117233 0.5 1 0
117713 0.5 1 0
118273 0.5 1 0
118513 0.5 1 0
118773 0.5 1 0
118973 0.5 1 0
119233 0.5 1 1
119733 0.5 1 0
120273 0.5 1 0
120753 0.5 1 0
121233 0.5 1 0
121753 0.5 1 0
122253 0.5 1 0
122713 0.5 1 0
123233 0.5 1 0
123733 0.5 1 0
124233 0.5 1 0
124753 0.5 1 0
125232 0.5 1 0
125732 0.5 1 0
126232 0.5 1 0
126512 0.5 1 0
126772 0.5 1 0
127012 0.5 1 0
127232 0.5 1 1
127772 0.5 1 0
128312 0.5 1 0
128772 0.5 1 0
129312 0.5 1 0
129772 0.5 1 0
130292 0.5 1 0
130752 0.5 1 0
131252 0.5 1 0
131752 0.5 1 0
132272 0.5 1 0
132752 0.5 1 0
133272 0.5 1 0
133752 0.5 1 0
134272 0.5 1 0
134532 0.5 1 0
134772 0.5 1 0
134972 0.5 1 0
136315 2.0 5 1















































































































